T,mape
0.0465444191188046,3.04647689229616
0.0520202331327816,2.27679704761692
0.0574960471467587,2.15370004871646
0.0657097681677242,0.837391121954959
0.0711855821817012,0.61585163500955
0.0766613961956782,1.56599978005109
0.0848751172166437,0.5890317128072
0.0958267452445978,0.71720419003073
0.114992094293517,0.842911448732985
0.134157443342437,1.25119772913628
0.153322792391356,0.603473742745882
0.16427442041931,0.766227756819076
0.210818839538115,1.2390683112464
0.246411630628966,1.16757489342884
0.287480235733793,1.37868706384451
0.325810933831632,1.25748590059672
0.383306980978391,1.56761457769122
0.416161865062253,0.977385034295205
0.459968377174069,2.2632016024784
0.498299075271908,2.43543237509303
0.555795122418667,1.61886317758652
0.632456518614345,2.05415652137778
0.709117914810024,2.74554506755474
0.747448612907863,2.30847660320044
0.804944660054621,2.36211619136181
0.881606056250299,4.60445170093572
0.958267452445978,1.72773131631867
0.996598150543817,1.17646232347821
1.05409419769058,1.11418966967212
